sim,team,conference,gp,wins,losses,ot_losses,points,goals_for,goals_against,goal_differential,playoffs,second_round,third_round,final,champion
1,OTT,East,82,54,28,6,114,288,220,68,1,1,1,1,1
1,NYI,East,82,50,32,7,107,279,229,50,1,0,0,0,0
1,COL,West,82,50,32,4,104,303,237,66,1,0,0,0,0
1,SJS,West,82,48,34,8,104,260,240,20,1,0,0,0,0
1,TBL,East,82,46,36,7,99,272,241,31,1,1,0,0,0
1,MIN,West,82,45,37,8,98,289,252,37,1,0,0,0,0
1,WSH,East,82,45,37,8,98,256,227,29,1,1,1,0,0
1,PHI,East,82,45,37,6,96,269,258,11,1,0,0,0,0
1,CAR,East,82,45,37,5,95,248,241,7,1,0,0,0,0
1,NSH,West,82,44,38,7,95,257,253,4,1,0,0,0,0
1,BOS,East,82,44,38,6,94,250,250,0,1,1,0,0,0
1,LAK,West,82,42,40,9,93,254,234,20,1,1,1,1,0
1,TOR,East,82,42,40,9,93,254,256,-2,1,0,0,0,0
1,NYR,East,82,43,39,5,91,270,257,13,0,0,0,0,0
1,SEA,West,82,43,39,5,91,236,241,-5,1,1,1,0,0
1,EDM,West,82,43,39,4,90,282,259,23,1,1,0,0,0
1,DAL,West,82,43,39,3,89,266,271,-5,1,1,0,0,0
1,PIT,East,82,42,40,4,88,260,282,-22,0,0,0,0,0
1,NJD,East,82,41,41,6,88,265,253,12,0,0,0,0,0
1,CBJ,East,82,40,42,8,88,251,263,-12,0,0,0,0,0
1,STL,West,82,42,40,3,87,267,258,9,0,0,0,0,0
1,WPG,West,82,39,43,9,87,245,247,-2,0,0,0,0,0
1,VGK,West,82,41,41,4,86,253,245,8,0,0,0,0,0
1,BUF,East,82,39,43,6,84,261,269,-8,0,0,0,0,0
1,FLA,East,82,38,44,7,83,250,273,-23,0,0,0,0,0
1,CGY,West,82,37,45,9,83,233,255,-22,0,0,0,0,0
1,ANA,West,82,32,50,12,76,232,258,-26,0,0,0,0,0
1,UTA,West,82,35,47,4,74,241,289,-48,0,0,0,0,0
1,DET,East,82,33,49,4,70,207,264,-57,0,0,0,0,0
1,MTL,East,82,32,50,6,70,246,280,-34,0,0,0,0,0
1,CHI,West,82,26,56,13,65,198,268,-70,0,0,0,0,0
1,VAN,West,82,23,59,8,54,181,253,-72,0,0,0,0,0
2,EDM,West,82,51,31,4,106,283,235,48,1,1,0,0,0
2,MIN,West,82,50,32,3,103,280,254,26,1,0,0,0,0
2,TOR,East,82,47,35,9,103,263,264,-1,1,1,1,0,0
2,VGK,West,82,47,35,7,101,274,249,25,1,0,0,0,0
2,LAK,West,82,47,35,5,99,271,237,34,1,0,0,0,0
2,COL,West,82,46,36,7,99,300,260,40,1,1,1,0,0
2,DAL,West,82,46,36,7,99,264,238,26,1,1,0,0,0
2,NSH,West,82,44,38,8,96,267,228,39,1,1,1,1,1
2,SEA,West,82,41,41,12,94,273,263,10,1,0,0,0,0
2,TBL,East,82,43,39,7,93,270,250,20,1,1,1,1,0
2,PHI,East,82,43,39,7,93,252,250,2,1,1,0,0,0
2,FLA,East,82,42,40,9,93,261,247,14,1,1,0,0,0
2,UTA,West,82,43,39,6,92,266,287,-21,0,0,0,0,0
2,PIT,East,82,45,37,1,91,280,258,22,1,0,0,0,0
2,BOS,East,82,44,38,3,91,282,267,15,1,0,0,0,0
2,WPG,West,82,41,41,9,91,271,277,-6,0,0,0,0,0
2,SJS,West,82,43,39,4,90,240,248,-8,0,0,0,0,0
2,ANA,West,82,39,43,12,90,261,259,2,0,0,0,0,0
2,VAN,West,82,40,42,9,89,238,264,-26,0,0,0,0,0
2,WSH,East,82,38,44,10,86,212,260,-48,1,0,0,0,0
2,DET,East,82,36,46,13,85,239,243,-4,1,0,0,0,0
2,NJD,East,82,40,42,4,84,251,262,-11,0,0,0,0,0
2,OTT,East,82,37,45,10,84,270,266,4,0,0,0,0,0
2,STL,West,82,39,43,5,83,260,269,-9,0,0,0,0,0
2,MTL,East,82,39,43,2,80,245,271,-26,0,0,0,0,0
2,NYI,East,82,35,47,10,80,255,279,-24,0,0,0,0,0
2,CGY,West,82,35,47,10,80,237,239,-2,0,0,0,0,0
2,CBJ,East,82,37,45,4,78,262,277,-15,0,0,0,0,0
2,CAR,East,82,34,48,10,78,265,279,-14,0,0,0,0,0
2,NYR,East,82,36,46,5,77,230,254,-24,0,0,0,0,0
2,CHI,West,82,33,49,9,75,209,260,-51,0,0,0,0,0
2,BUF,East,82,31,51,13,75,258,295,-37,0,0,0,0,0
3,COL,West,82,58,24,3,119,318,247,71,1,1,1,1,0
3,CAR,East,82,50,32,6,106,300,276,24,1,1,1,0,0
3,PIT,East,82,49,33,6,104,285,258,27,1,0,0,0,0
3,OTT,East,82,48,34,3,99,271,253,18,1,0,0,0,0
3,UTA,West,82,46,36,7,99,284,252,32,1,1,1,0,0
3,LAK,West,82,47,35,4,98,288,260,28,1,1,0,0,0
3,NYR,East,82,47,35,4,98,268,232,36,1,1,1,1,1
3,WPG,West,82,45,37,8,98,280,262,18,1,0,0,0,0
3,NJD,East,82,46,36,2,94,260,244,16,1,0,0,0,0
3,CBJ,East,82,44,38,6,94,269,265,4,1,1,0,0,0
3,VGK,West,82,45,37,3,93,288,266,22,1,1,0,0,0
3,FLA,East,82,43,39,7,93,276,262,14,1,1,0,0,0
3,SJS,West,82,42,40,9,93,254,252,2,1,0,0,0,0
3,TBL,East,82,44,38,3,91,285,273,12,1,0,0,0,0
3,CGY,West,82,42,40,6,90,288,272,16,1,0,0,0,0
3,NSH,West,82,43,39,3,89,286,283,3,1,0,0,0,0
3,MTL,East,82,41,41,6,88,247,239,8,0,0,0,0,0
3,TOR,East,82,42,40,3,87,254,243,11,0,0,0,0,0
3,DET,East,82,39,43,9,87,270,282,-12,0,0,0,0,0
3,ANA,West,82,37,45,11,85,249,248,1,0,0,0,0,0
3,MIN,West,82,36,46,12,84,287,282,5,0,0,0,0,0
3,STL,West,82,39,43,4,82,255,284,-29,0,0,0,0,0
3,EDM,West,82,38,44,6,82,271,291,-20,0,0,0,0,0
3,SEA,West,82,36,46,8,80,237,259,-22,0,0,0,0,0
3,BUF,East,82,37,45,5,79,260,278,-18,0,0,0,0,0
3,VAN,West,82,32,50,13,77,266,280,-14,0,0,0,0,0
3,DAL,West,82,37,45,2,76,253,283,-30,0,0,0,0,0
3,BOS,East,82,34,48,7,75,250,285,-35,0,0,0,0,0
3,PHI,East,82,33,49,8,74,240,271,-31,0,0,0,0,0
3,CHI,West,82,32,50,7,71,239,280,-41,0,0,0,0,0
3,NYI,East,82,31,51,7,69,225,264,-39,0,0,0,0,0
3,WSH,East,82,29,53,11,69,202,279,-77,0,0,0,0,0
